gene_id,chrom,begin,end,gene_name,transcript_id,uniprot_acc,uniprot_reviewed,uniprot_des,uniprot_goa,sgn_des
PGSC0003DMG400010840,chromosome 8,43351373,43358338,102589321,PGSC0003DMT400028106,M1AQQ4,0,"Aspartate aminotransferase , Generated via protein_evidence_gt_2",GO:0004069 [L-aspartate:2-oxoglutarate aminotransferase activity]; GO:0006520 [cellular amino acid metabolic process]; GO:0009058 [biosynthetic process]; GO:0030170 [pyridoxal phosphate binding],name: Aspartate aminotransferase
PGSC0003DMG400010840,chromosome 8,43351373,43358338,102589321,PGSC0003DMT400028105,M1AQQ3,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0006520 [cellular amino acid metabolic process]; GO:0008483 [transaminase activity]; GO:0009058 [biosynthetic process]; GO:0030170 [pyridoxal phosphate binding],name: Aspartate aminotransferase
PGSC0003DMG400011640,chromosome 5,47534530,47537782,102582282,PGSC0003DMT400030402,M1AU65,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0004601 [peroxidase activity]; GO:0005576 [extracellular region]; GO:0006979 [response to oxidative stress]; GO:0020037 [heme binding]; GO:0042744 [hydrogen peroxide catabolic process]; GO:0046872 [metal ion binding],name: Peroxidase
PGSC0003DMG400011948,chromosome 0,22096297,22097627,,PGSC0003DMT400031195,M1AVB2,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0004601 [peroxidase activity]; GO:0005576 [extracellular region]; GO:0006979 [response to oxidative stress]; GO:0020037 [heme binding]; GO:0042744 [hydrogen peroxide catabolic process]; GO:0046872 [metal ion binding],name: Cationic peroxidase 1
PGSC0003DMG400011949,chromosome 0,22111594,22113047,102598620,PGSC0003DMT400031196,M1AVB3,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400011949,chromosome 0,22111594,22113047,102598620,PGSC0003DMT400031197,M1AVB4,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400011951,chromosome 0,22013629,22014481,102596984,PGSC0003DMT400031199,M1AVB6,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400011952,chromosome 0,22035913,22036766,102597309,PGSC0003DMT400031200,M1AVB7,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400011953,chromosome 0,22056930,22057933,,PGSC0003DMT400031201,M1AVB8,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein 2
PGSC0003DMG400011954,chromosome 0,22081144,22082169,102597952,PGSC0003DMT400031202,M1AVB9,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein 1
PGSC0003DMG400011955,chromosome 0,22098971,22100334,107058563,PGSC0003DMT400031203,M1DMG8,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein 2
PGSC0003DMG400012688,chromosome 2,40752283,40754017,,PGSC0003DMT400033048,M1AYJ0,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ","GO:0045892 [negative regulation of transcription, DNA-templated]",name: Ovate protein
PGSC0003DMG400012837,chromosome 10,13483645,13484499,,PGSC0003DMT400033409,M1AZ36,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400012837,chromosome 10,13483645,13484499,,PGSC0003DMT400033408,M1AZ35,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400012838,chromosome 10,13471487,13479568,102588710,PGSC0003DMT400033411,M1AZ37,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400012838,chromosome 10,13471487,13479568,102588710,PGSC0003DMT400033412,M1AZ38,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400012838,chromosome 10,13471487,13479568,102588710,PGSC0003DMT400033415,M1AZ40,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400012838,chromosome 10,13471487,13479568,102588710,PGSC0003DMT400033413,M1AZ40,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400012839,chromosome 10,13444785,13445603,102577501,PGSC0003DMT400033417,M1AZ41,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400014055,chromosome 6,31519292,31521502,102602226,PGSC0003DMT400036487,M1B3Q2,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0004601 [peroxidase activity]; GO:0005576 [extracellular region]; GO:0006979 [response to oxidative stress]; GO:0020037 [heme binding]; GO:0042744 [hydrogen peroxide catabolic process]; GO:0046872 [metal ion binding],name: Peroxidase
PGSC0003DMG400014511,chromosome 8,43072980,43074248,,PGSC0003DMT400037629,M1B5M3,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ","GO:0045892 [negative regulation of transcription, DNA-templated]",name: ATOFP8/OFP8
PGSC0003DMG400015092,chromosome 8,41264760,41265279,,PGSC0003DMT400039040,M1B7P6,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400015106,chromosome 11,11930524,11938727,,PGSC0003DMT400039067,M1B7R0,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0004601 [peroxidase activity]; GO:0006979 [response to oxidative stress]; GO:0020037 [heme binding]; GO:0042744 [hydrogen peroxide catabolic process]; GO:0046872 [metal ion binding],name: Cell wall peroxidase
PGSC0003DMG400015106,chromosome 11,11930524,11938727,,PGSC0003DMT400039064,M1B7Q7,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0004601 [peroxidase activity]; GO:0005576 [extracellular region]; GO:0006979 [response to oxidative stress]; GO:0020037 [heme binding]; GO:0042744 [hydrogen peroxide catabolic process]; GO:0046872 [metal ion binding],name: Cell wall peroxidase
PGSC0003DMG400015106,chromosome 11,11930524,11938727,,PGSC0003DMT400039065,M1B7Q8,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0004601 [peroxidase activity]; GO:0005576 [extracellular region]; GO:0006979 [response to oxidative stress]; GO:0020037 [heme binding]; GO:0042744 [hydrogen peroxide catabolic process]; GO:0046872 [metal ion binding],name: Cell wall peroxidase
PGSC0003DMG400015106,chromosome 11,11930524,11938727,,PGSC0003DMT400039066,M1B7Q9,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0004601 [peroxidase activity]; GO:0005576 [extracellular region]; GO:0006979 [response to oxidative stress]; GO:0020037 [heme binding]; GO:0042744 [hydrogen peroxide catabolic process]; GO:0046872 [metal ion binding],name: Cell wall peroxidase
PGSC0003DMG400015637,chromosome 7,16783015,16788092,102579446,PGSC0003DMT400040385,M1B9T8,0,"Aspartate aminotransferase , Generated via protein_evidence_gt_2",GO:0004069 [L-aspartate:2-oxoglutarate aminotransferase activity]; GO:0006520 [cellular amino acid metabolic process]; GO:0009058 [biosynthetic process]; GO:0030170 [pyridoxal phosphate binding],name: Aspartate aminotransferase
PGSC0003DMG400015801,chromosome 3,43497338,43500116,102580092,PGSC0003DMT400040868,M1BAK2,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0004601 [peroxidase activity]; GO:0005576 [extracellular region]; GO:0006979 [response to oxidative stress]; GO:0020037 [heme binding]; GO:0042744 [hydrogen peroxide catabolic process]; GO:0046872 [metal ion binding],name: Bacterial-induced peroxidase
PGSC0003DMG400016102,chromosome 8,41197922,41198564,102598725,PGSC0003DMT400041542,M1BBH5,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400016103,chromosome 8,41195055,41195538,102599380,PGSC0003DMT400041543,M1BBH6,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400016105,chromosome 8,41208773,41209868,,PGSC0003DMT400041545,M1BBH8,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400016415,chromosome 1,3359907,3360814,102586159,PGSC0003DMT400042334,M1BCV1,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ","GO:0045892 [negative regulation of transcription, DNA-templated]",name: Conserved gene of unknown function
PGSC0003DMG400017788,chromosome 3,4403368,4405474,102580284,PGSC0003DMT400045857,M1BIB0,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ","GO:0045892 [negative regulation of transcription, DNA-templated]",name: Ovate
PGSC0003DMG400019628,chromosome 11,40682903,40683552,107057995,PGSC0003DMT400050511,M1BQE8,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ","GO:0045892 [negative regulation of transcription, DNA-templated]",name: ATOFP6/OFP6
PGSC0003DMG400020416,chromosome 7,50331069,50335692,102605189,PGSC0003DMT400052597,M1BTN1,0,"Aspartate aminotransferase , Generated via protein_evidence_gt_2",GO:0004069 [L-aspartate:2-oxoglutarate aminotransferase activity]; GO:0005507 [copper ion binding]; GO:0005739 [mitochondrion]; GO:0006520 [cellular amino acid metabolic process]; GO:0009058 [biosynthetic process]; GO:0030170 [pyridoxal phosphate binding]; GO:0046686 [response to cadmium ion],name: Aspartate aminotransferase
PGSC0003DMG400020437,chromosome 7,50315300,50317063,,PGSC0003DMT400052649,M1BTR9,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0004601 [peroxidase activity]; GO:0006979 [response to oxidative stress]; GO:0020037 [heme binding]; GO:0042744 [hydrogen peroxide catabolic process]; GO:0046872 [metal ion binding],name: Peroxidase
PGSC0003DMG400020437,chromosome 7,50315300,50317063,,PGSC0003DMT400052648,M1BTR8,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0004601 [peroxidase activity]; GO:0006979 [response to oxidative stress]; GO:0020037 [heme binding],name: Peroxidase
PGSC0003DMG400020798,chromosome 10,49172630,49173264,,PGSC0003DMT400053611,M1BV74,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0004601 [peroxidase activity]; GO:0006979 [response to oxidative stress]; GO:0020037 [heme binding],name: Cationic peroxidase 1
PGSC0003DMG400020798,chromosome 10,49172630,49173264,,PGSC0003DMT400053611,M1BV74,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0004601 [peroxidase activity]; GO:0006979 [response to oxidative stress]; GO:0020037 [heme binding],name: Cationic peroxidase 1
PGSC0003DMG400020799,chromosome 10,49151461,49152451,,PGSC0003DMT400053613,M1BV75,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0004601 [peroxidase activity]; GO:0006979 [response to oxidative stress]; GO:0020037 [heme binding]; GO:0042744 [hydrogen peroxide catabolic process]; GO:0046872 [metal ion binding],name: Cationic peroxidase 1
PGSC0003DMG400020799,chromosome 10,49151461,49152451,,PGSC0003DMT400053613,M1BV75,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0004601 [peroxidase activity]; GO:0006979 [response to oxidative stress]; GO:0020037 [heme binding]; GO:0042744 [hydrogen peroxide catabolic process]; GO:0046872 [metal ion binding],name: Cationic peroxidase 1
PGSC0003DMG400020800,chromosome 10,49084193,49085040,,PGSC0003DMT400053615,M1BV76,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0004601 [peroxidase activity]; GO:0006979 [response to oxidative stress]; GO:0020037 [heme binding]; GO:0042744 [hydrogen peroxide catabolic process]; GO:0046872 [metal ion binding],name: Cationic peroxidase 1
PGSC0003DMG400020800,chromosome 10,49084193,49085040,,PGSC0003DMT400053615,M1BV76,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0004601 [peroxidase activity]; GO:0006979 [response to oxidative stress]; GO:0020037 [heme binding]; GO:0042744 [hydrogen peroxide catabolic process]; GO:0046872 [metal ion binding],name: Cationic peroxidase 1
PGSC0003DMG400020821,chromosome 6,4230352,4230711,,PGSC0003DMT400053675,M1BVB4,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400020837,chromosome 6,4212506,4213112,107062888,PGSC0003DMT400053708,M1BVD3,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400025537,chromosome 8,41101784,41102351,102599705,PGSC0003DMT400065643,M1CED4,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400025538,chromosome 8,41110087,41110753,,PGSC0003DMT400065644,M1CED5,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400025987,chromosome 1,69566214,69566992,102596423,PGSC0003DMT400066842,M1CGA8,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400025988,chromosome 1,69558764,69559120,,PGSC0003DMT400066844,M1CGA9,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400026575,chromosome 9,13125835,13128476,102601606,PGSC0003DMT400068341,M1CIW6,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0004601 [peroxidase activity]; GO:0005576 [extracellular region]; GO:0006979 [response to oxidative stress]; GO:0020037 [heme binding]; GO:0042744 [hydrogen peroxide catabolic process]; GO:0046872 [metal ion binding],name: Class III peroxidase
PGSC0003DMG400026575,chromosome 9,13125835,13128476,102601606,PGSC0003DMT400068340,M1CIW5,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0004601 [peroxidase activity]; GO:0006979 [response to oxidative stress]; GO:0020037 [heme binding],name: Class III peroxidase
PGSC0003DMG400028155,chromosome 10,56030393,56031156,102586649,PGSC0003DMT400072347,M1CQ43,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ","GO:0045892 [negative regulation of transcription, DNA-templated]",name: Conserved gene of unknown function
PGSC0003DMG400028460,chromosome 2,31424122,31425454,102580543,PGSC0003DMT400073252,M1CRN9,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ","GO:0045892 [negative regulation of transcription, DNA-templated]",name: ATOFP5/OFP5
PGSC0003DMG400029897,chromosome 8,20578864,20584698,,PGSC0003DMT400076866,M1CXI6,0,"Aspartate aminotransferase , Generated via protein_evidence_gt_2",GO:0004069 [L-aspartate:2-oxoglutarate aminotransferase activity]; GO:0006520 [cellular amino acid metabolic process]; GO:0009058 [biosynthetic process]; GO:0009409 [response to cold]; GO:0009570 [chloroplast stroma]; GO:0009941 [chloroplast envelope]; GO:0010319 [stromule]; GO:0030170 [pyridoxal phosphate binding]; GO:0046686 [response to cadmium ion]; GO:0048046 [apoplast],name: Aspartate aminotransferase
PGSC0003DMG400029897,chromosome 8,20578864,20584698,,PGSC0003DMT400076865,M1CXI6,0,"Aspartate aminotransferase , Generated via protein_evidence_gt_2",GO:0004069 [L-aspartate:2-oxoglutarate aminotransferase activity]; GO:0006520 [cellular amino acid metabolic process]; GO:0009058 [biosynthetic process]; GO:0009409 [response to cold]; GO:0009570 [chloroplast stroma]; GO:0009941 [chloroplast envelope]; GO:0010319 [stromule]; GO:0030170 [pyridoxal phosphate binding]; GO:0046686 [response to cadmium ion]; GO:0048046 [apoplast],name: Aspartate aminotransferase
PGSC0003DMG400030382,chromosome 6,57556039,57558160,,PGSC0003DMT400078121,M1CZF6,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0004601 [peroxidase activity]; GO:0005576 [extracellular region]; GO:0006979 [response to oxidative stress]; GO:0020037 [heme binding]; GO:0042744 [hydrogen peroxide catabolic process]; GO:0046872 [metal ion binding],name: Class III peroxidase
PGSC0003DMG400030384,chromosome 6,57574904,57576476,102602169,PGSC0003DMT400078126,M1CZF8,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ","GO:0003677 [DNA binding]; GO:0045892 [negative regulation of transcription, DNA-templated]",name: Conserved gene of unknown function
PGSC0003DMG400031126,chromosome 1,67141270,67142003,,PGSC0003DMT400079925,M1D2Q5,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400031127,chromosome 1,67139256,67140626,102588833,PGSC0003DMT400079929,M1D2Q8,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400031127,chromosome 1,67139256,67140626,102588833,PGSC0003DMT400079928,M1D2Q7,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400031127,chromosome 1,67139256,67140626,102588833,PGSC0003DMT400079927,M1D2Q6,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400031236,chromosome 10,48904346,48905134,102598243,PGSC0003DMT400080246,M1D370,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400031236,chromosome 10,48904346,48905134,102598243,PGSC0003DMT400080247,M1D371,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400040954,chromosome 10,49170543,49171657,107058563,PGSC0003DMT400091383,M1DMG8,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein 2
PGSC0003DMG400044629,chromosome 4,69602398,69603111,,PGSC0003DMT400095058,M1DVH5,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ","GO:0045892 [negative regulation of transcription, DNA-templated]",name: Conserved gene of unknown function
PGSC0003DMG400044985,chromosome 6,46252398,46252706,,PGSC0003DMT400095414,M1DW92,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG401031237,chromosome 10,48918720,48919070,,PGSC0003DMT400080248,M1D372,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG402031237,chromosome 10,48907813,48919140,102598583,PGSC0003DMT400080252,M1D375,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG402031237,chromosome 10,48907813,48919140,102598583,PGSC0003DMT400080249,M1D373,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG402031237,chromosome 10,48907813,48919140,102598583,PGSC0003DMT400080251,M1D374,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG402031237,chromosome 10,48907813,48919140,102598583,PGSC0003DMT400080253,M1D376,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
Solyc01g007800.2,chromosome 1,1955327,1956217,101254625,Solyc01g007800.2.1,K4ASX8,0,Uncharacterized protein,"GO:0045892 [negative regulation of transcription, DNA-templated]","Name: Solyc01g007800.2.1; Note: Plant-specific domain TIGR01568 family protein (AHRD V1 *--- B6SZV1_MAIZE); contains Interpro domain(s)  IPR006458  Protein of unknown function DUF623, plant "
Solyc01g081590.2,chromosome 1,80790002,80791273,101265366,Solyc01g081590.2.1,K4AY51,0,Uncharacterized protein,GO:0006869 [lipid transport]; GO:0008289 [lipid binding]; GO:0016020 [membrane],"Name: Solyc01g081590.2.1; Note: Non-specific lipid-transfer protein (AHRD V1 **** B9N6K5_POPTR); contains Interpro domain(s)  IPR013770  Plant lipid transfer protein and hydrophobic protein, helical ; Ontology_term: GO:0005516, GO:0005319; interpro2go_term: GO:0006869; sifter_term: GO:0005516, GO:0005319"
Solyc01g081600.2,chromosome 1,80791839,80793152,101265675,Solyc01g081600.2.1,K4AY52,0,Non-specific lipid-transfer protein,GO:0006869 [lipid transport]; GO:0008289 [lipid binding]; GO:0016020 [membrane],"Name: Solyc01g081600.2.1; Note: Non-specific lipid-transfer protein (AHRD V1 ***- Q6E0V1_NICGL); contains Interpro domain(s)  IPR013770  Plant lipid transfer protein and hydrophobic protein, helical ; Ontology_term: GO:0006869; interpro2go_term: GO:0006869"
Solyc01g090350.2,chromosome 1,84055544,84056304,101258994,Solyc01g090350.2.1,K4AYX6,0,Non-specific lipid-transfer protein,GO:0006869 [lipid transport]; GO:0008289 [lipid binding]; GO:0016020 [membrane],"Name: Solyc01g090350.2.1; Note: Non-specific lipid-transfer protein (AHRD V1 ***- B9RD07_RICCO); contains Interpro domain(s)  IPR013770  Plant lipid transfer protein and hydrophobic protein, helical ; Ontology_term: GO:0006869; interpro2go_term: GO:0006869"
Solyc01g090360.2,chromosome 1,84060227,84061028,101259287,Solyc01g090360.2.1,K4AYX7,0,Non-specific lipid-transfer protein,GO:0006869 [lipid transport]; GO:0008289 [lipid binding]; GO:0016020 [membrane],"Name: Solyc01g090360.2.1; Note: Non-specific lipid-transfer protein (AHRD V1 ***- B9RD07_RICCO); contains Interpro domain(s)  IPR013770  Plant lipid transfer protein and hydrophobic protein, helical ; Ontology_term: GO:0006869; interpro2go_term: GO:0006869"
Solyc02g072030.1,chromosome 2,41330364,41331497,104646050,Solyc02g072030.1.1,K4B8H8,0,Uncharacterized protein,"GO:0045892 [negative regulation of transcription, DNA-templated]","Name: Solyc02g072030.1.1; Note: Plant-specific domain TIGR01568 family protein (AHRD V1 *--- B6U5V3_MAIZE); contains Interpro domain(s)  IPR006458  Protein of unknown function DUF623, plant "
Solyc02g085500.2,chromosome 2,48367481,48369215,,Solyc02g085500.2.1,K4BB62,0,Uncharacterized protein,"GO:0045892 [negative regulation of transcription, DNA-templated]",Name: Solyc02g085500.2.1; Note: Ovate protein (AHRD V1 ***- Q8GSM4_SOLLC)
